City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
169,doha,0,QA,1587600342,69,25.29,51.53,79.0,3.36
170,shache,40,CN,1587600249,31,38.42,77.24,58.1,3.4
171,vila velha,40,BR,1587600057,83,-20.33,-40.29,75.2,3.36
172,altar,0,MX,1587600370,20,30.7,-111.82,84.99,5.99
173,adrar,0,MR,1587600370,14,20.5,-10.07,80.76,6.8
174,porto seguro,75,BR,1587600370,74,-16.45,-39.06,78.8,6.93
175,sorochinsk,89,RU,1587600370,82,52.43,53.16,35.33,15.57
176,chapais,90,CA,1587600253,72,49.78,-74.85,14.0,13.87
177,irtyshskiy,100,RU,1587600370,68,58.33,68.13,45.86,10.2
178,bathsheba,40,BB,1587600250,69,13.22,-59.52,80.6,16.11
179,lorengau,81,PG,1587600258,66,-2.02,147.27,84.27,3.91
180,bredasdorp,0,ZA,1587600245,87,-34.53,20.04,48.2,1.41
181,khatanga,18,RU,1587600239,97,71.97,102.5,23.14,2.86
182,dikson,67,RU,1587600257,96,73.51,80.55,17.17,10.67
183,saint-joseph,40,RE,1587600248,83,-21.37,55.62,71.6,4.7
184,provideniya,58,RU,1587600242,62,64.38,-173.3,21.2,4.47
185,vestmannaeyjar,62,IS,1587600370,74,63.44,-20.27,43.14,2.84
186,tessalit,0,ML,1587600125,10,20.2,1.01,83.03,9.44
187,karaj,40,IR,1587600370,37,35.84,51.01,66.2,4.7
188,umea,84,SE,1587600370,86,63.83,20.26,33.8,3.36
189,correntina,100,BR,1587600370,77,-13.34,-44.64,71.38,4.0
190,linkoping,27,SE,1587600371,46,58.41,15.62,53.6,6.93
191,havre,0,FR,1587600371,76,49.58,0.33,51.8,6.93
192,maturin,45,VE,1587600371,63,9.75,-63.18,78.78,7.87
193,sakakah,0,SA,1587600371,14,29.97,40.21,78.8,13.87
194,pisco,7,PE,1587600252,77,-13.7,-76.22,69.8,14.99
195,tomatlan,78,MX,1587600371,54,19.93,-105.25,80.69,7.38
196,bereslavka,33,RU,1587600371,79,48.63,44.04,35.6,11.18
197,necochea,55,AR,1587600061,57,-38.55,-58.74,55.24,6.31
198,sombrio,54,BR,1587600371,84,-29.11,-49.62,65.59,1.88
199,guerrero negro,0,MX,1587600240,51,27.98,-114.06,71.85,17.56
200,san quintin,1,MX,1587600231,58,30.48,-115.95,69.48,15.99
201,loralai,82,PK,1587600260,33,30.37,68.6,63.34,2.91
202,hermanus,3,ZA,1587600240,96,-34.42,19.23,52.0,9.28
203,ugoofaaru,100,MV,1587600242,70,5.67,73.0,84.43,7.61
204,olinda,62,BR,1587600371,83,-8.01,-34.86,78.8,3.36
205,hobart,75,AU,1587600018,54,-42.88,147.33,57.2,6.93
206,namibe,3,AO,1587600245,79,-15.2,12.15,72.91,7.36
207,pevek,0,RU,1587600245,92,69.7,170.31,14.29,5.39
208,severo-kurilsk,100,RU,1587600250,95,50.68,156.12,32.68,39.17
209,dese,19,ET,1587600371,40,11.13,39.63,52.18,0.51
210,iqaluit,90,CA,1587600231,78,63.75,-68.51,12.2,18.34
211,kaspiysk,100,RU,1587600371,87,42.88,47.64,44.6,6.71
212,kununurra,14,AU,1587599961,54,-15.77,128.73,84.2,4.7
213,englehart,1,CA,1587600371,30,47.82,-79.87,30.2,9.17
214,champerico,40,GT,1587600371,59,14.3,-91.92,89.6,9.17
215,peno,69,RU,1587600371,85,56.93,32.74,31.95,5.84
216,padilla,75,CO,1587600371,78,3.22,-76.31,73.4,6.93
217,hualmay,12,PE,1587600371,76,-11.1,-77.61,69.1,6.29
218,klaeng,100,TH,1587600371,88,12.78,101.65,84.0,1.48
219,kathmandu,75,NP,1587600094,100,27.72,85.32,53.6,3.36
220,chuy,88,UY,1587600240,88,-33.7,-53.46,63.34,6.29
221,lucapa,23,AO,1587600372,73,-8.42,20.74,65.19,2.95
222,uppsala,93,SE,1587600372,80,60.0,17.75,43.0,4.7
223,manzanillo,90,CU,1587600255,67,20.34,-77.12,82.22,2.44
224,paamiut,100,GL,1587600251,81,61.99,-49.67,37.09,4.36
225,kiunga,99,PG,1587600372,96,-6.12,141.29,75.87,0.38
226,yaan,96,NG,1587600372,81,7.38,8.57,76.14,8.3
227,roald,15,NO,1587600256,100,62.58,6.13,39.2,6.93
228,am timan,18,TD,1587600372,24,11.03,20.28,84.38,3.09
229,kintampo,96,GH,1587600372,78,8.06,-1.73,75.6,4.97
230,saint-philippe,40,RE,1587600246,83,-21.36,55.77,71.6,4.7
231,yatou,22,CN,1587600240,56,37.15,122.38,47.68,13.27
232,meulaboh,100,ID,1587600248,88,4.14,96.13,78.15,5.26
233,sao mateus,20,BR,1587600372,85,-18.72,-39.86,72.27,7.87
234,roebourne,26,AU,1587600255,37,-20.78,117.13,90.45,16.51
235,nyuzen,75,JP,1587600372,87,36.93,137.5,46.0,8.05
236,bengkulu,100,ID,1587600024,82,-3.8,102.27,78.76,5.44
237,tilichiki,74,RU,1587600258,96,60.47,166.1,26.64,3.11
238,lamu,76,KE,1587600261,82,-2.27,40.9,81.48,8.19
239,khyriv,4,UA,1587600372,78,49.53,22.85,38.62,1.72
240,alice springs,0,AU,1587600259,34,-23.7,133.88,80.6,11.27
241,richards bay,31,ZA,1587600244,85,-28.78,32.04,71.87,11.54
242,turinsk,0,RU,1587600372,76,58.05,63.7,38.97,10.02
243,dwarka,19,IN,1587600373,80,22.24,68.97,81.66,15.5
244,pailon,40,BO,1587600373,74,-17.65,-62.75,80.6,5.82
245,dubna,87,RU,1587600373,83,56.73,37.17,33.26,7.74
246,joane,0,PT,1587600373,93,41.44,-8.41,53.01,2.66
247,kizema,87,RU,1587600373,92,61.11,44.83,23.63,10.11
248,benito juarez,90,MX,1587600373,38,19.39,-99.17,77.0,9.17
249,salta,20,AR,1587600373,77,-24.79,-65.41,68.0,2.24
250,rio grande,81,BR,1587600250,92,-32.03,-52.1,68.0,1.99
251,thompson,90,CA,1587600183,80,55.74,-97.86,33.8,6.93
252,nokaneng,0,BW,1587600373,29,-19.67,22.27,64.96,5.32
253,buraydah,0,SA,1587600244,69,26.33,43.98,73.4,8.97
254,outram,75,MY,1587600373,88,1.28,103.84,82.4,2.24
255,majholi,49,IN,1587600373,24,23.5,79.92,78.69,4.9
256,shimoda,75,JP,1587600241,66,34.67,138.95,52.0,4.7
257,khulo,75,GE,1587600373,93,41.64,42.31,44.6,3.36
258,grand gaube,1,MU,1587600373,85,-20.01,57.66,73.0,1.99
259,kampot,80,KH,1587600373,78,10.62,104.18,82.92,4.25
260,kermanshah,36,IR,1587600373,66,34.31,47.06,55.4,6.93
261,tonj,5,SS,1587600373,56,7.27,28.68,78.51,5.86
262,buchanan,20,LR,1587600373,94,5.88,-10.05,78.8,4.76
263,muisne,75,EC,1587600373,78,0.6,-80.03,82.4,8.05
264,banda aceh,100,ID,1587600373,81,5.56,95.32,80.19,4.72
265,westport,1,US,1587600261,23,41.14,-73.36,48.2,14.99
266,bose,0,IT,1587600373,54,45.46,8.01,53.01,5.14
267,buala,87,SB,1587600374,67,-8.14,159.59,86.22,5.95
268,inhambane,3,MZ,1587600374,85,-23.86,35.38,73.96,11.25
269,pangody,88,RU,1587600374,91,65.85,74.49,38.53,25.1
270,luangwa,6,ZM,1587600374,58,-15.62,30.42,65.12,2.08
271,sandur,59,IN,1587600374,63,15.1,76.55,76.19,6.85
272,markivka,46,UA,1587600374,83,49.52,39.57,33.89,10.83
273,kulhudhuffushi,100,MV,1587600374,68,6.62,73.07,84.7,6.42
274,anshun,100,CN,1587600148,59,26.25,105.93,45.54,9.75
275,bambous virieux,40,MU,1587600246,88,-20.34,57.76,75.2,6.93
276,lompoc,1,US,1587599993,60,34.64,-120.46,79.0,13.87
277,tura,61,IN,1587600245,84,25.52,90.22,65.59,0.25
278,maarianhamina,100,AX,1587600374,75,60.1,19.93,32.0,1.12
279,riyadh,2,SA,1587600374,73,24.69,46.72,73.4,4.7
280,sur,75,OM,1587600374,49,22.57,59.53,83.64,5.26
281,carnarvon,97,AU,1587600245,77,-24.87,113.63,69.8,13.87
282,funadhoo,100,MV,1587600374,68,6.15,73.27,84.63,6.98
283,walvis bay,84,NA,1587600255,77,-22.96,14.51,60.8,6.93
284,constitucion,100,CL,1587600254,67,-35.33,-72.42,57.15,5.73
285,tommot,92,RU,1587600257,75,58.96,126.29,35.28,3.22
286,kamennogorsk,80,RU,1587600374,44,60.95,29.13,39.2,3.36
287,pathein,0,MM,1587600205,84,16.78,94.73,78.33,7.38
288,esperance,9,AU,1587600253,93,-33.87,121.9,57.2,6.93
289,hasaki,75,JP,1587600244,54,35.73,140.83,55.99,4.7
290,coquimbo,90,CL,1587600259,82,-29.95,-71.34,60.8,4.7
291,kiruna,87,SE,1587600374,80,67.86,20.23,35.6,11.41
292,kendari,35,ID,1587600374,81,-3.94,122.5,80.6,3.0
293,wuwei,100,CN,1587600374,21,37.93,102.64,44.01,1.01
294,port hedland,21,AU,1587600239,35,-20.32,118.57,89.6,11.41
295,sangar,100,RU,1587600375,95,63.92,127.47,29.43,12.95
296,kashi,40,CN,1587600375,76,39.45,75.98,50.0,6.71
297,gornoye loo,89,RU,1587600375,81,43.71,39.6,42.8,6.71
298,ewa beach,1,US,1587600375,65,21.32,-158.01,82.4,8.05
299,tolaga bay,100,NZ,1587600375,64,-38.37,178.3,65.95,10.18
300,clarence town,31,AU,1587600375,59,-32.58,151.78,69.01,13.87
301,geilo,83,NO,1587600375,66,60.53,8.21,34.0,1.99
302,cay,87,TR,1587600375,57,38.59,31.03,42.28,6.15
303,calais,0,FR,1587600375,64,50.92,1.83,54.0,1.99
304,nanortalik,75,GL,1587600249,77,60.14,-45.24,37.98,8.59
305,sinnamary,100,GF,1587600246,85,5.38,-52.95,78.39,10.6
306,kutum,29,SD,1587600375,13,14.2,24.67,66.58,8.14
307,dingle,49,PH,1587600375,73,11.0,122.67,83.52,11.65
308,strezhevoy,84,RU,1587600257,66,60.73,77.59,50.0,11.18
309,pimentel,19,PE,1587600261,77,-6.84,-79.93,70.38,11.72
310,atasu,83,KZ,1587600375,25,48.68,71.64,63.16,17.25
311,tanete,96,ID,1587600375,77,-3.94,119.78,81.45,7.99
312,alyangula,22,AU,1587600375,74,-13.85,136.42,84.2,3.36
313,havre-saint-pierre,90,CA,1587600375,86,50.23,-63.6,30.2,14.99
314,bethel,1,US,1587600245,28,41.37,-73.41,45.0,11.41
315,damaturu,71,NG,1587600375,12,11.75,11.96,84.88,6.85
316,cururupu,94,BR,1587600254,90,-1.83,-44.87,76.77,4.5
317,makaryev,58,RU,1587600375,91,57.88,43.81,27.01,11.61
318,changji,0,CN,1587600375,27,44.02,87.32,62.6,4.47
319,sao filipe,8,CV,1587600242,76,14.9,-24.5,71.42,18.66
320,gorontalo,60,ID,1587600376,75,0.54,123.06,82.51,0.54
321,lahat,100,ID,1587600376,83,-3.8,103.53,75.13,2.33
322,shetpe,100,KZ,1587600253,57,44.17,52.12,45.97,5.48
323,porec,0,HR,1587600376,61,45.23,13.59,55.4,2.24
324,ribeira grande,28,PT,1587600249,79,38.52,-28.7,58.14,16.87
325,abalak,100,RU,1587600376,67,58.13,68.59,45.75,9.66
326,santa maria,71,BR,1587600260,64,-29.68,-53.81,68.0,2.24
327,tuatapere,92,NZ,1587600240,79,-46.13,167.68,55.99,1.01
328,kingsport,75,US,1587600376,34,36.55,-82.56,64.4,1.74
329,shumikha,83,RU,1587600376,68,55.23,63.3,41.11,17.76
330,aklavik,75,CA,1587600244,62,68.22,-135.01,21.2,6.93
331,mahajanga,20,MG,1587600376,88,-15.72,46.32,77.0,3.36
332,tabou,25,CI,1587600376,86,4.42,-7.35,79.88,5.41
333,katherine,0,AU,1587600376,58,-14.47,132.27,82.4,5.82
334,zamora,40,EC,1587600331,57,-4.07,-78.96,78.8,13.87
335,kaitangata,94,NZ,1587600256,89,-46.28,169.85,51.01,4.0
336,utinga,20,BR,1587600376,83,-5.82,-35.4,80.6,4.7
337,tiarei,3,PF,1587600376,62,-17.53,-149.33,87.8,8.05
338,saint george,1,US,1587600253,21,37.1,-113.58,80.01,12.75
339,byron bay,90,AU,1587600210,73,-28.65,153.62,71.01,8.05
340,mackay,3,AU,1587600256,83,-21.15,149.2,80.01,8.05
341,inirida,98,CO,1587600255,95,3.87,-67.92,72.91,3.58
342,kungurtug,0,RU,1587600265,34,50.6,97.52,40.08,2.1
343,suruc,1,TR,1587600376,58,36.98,38.42,53.6,4.7
344,kristiansund,53,NO,1587600377,93,63.11,7.73,41.0,8.05
345,jutai,91,BR,1587600377,88,-5.18,-68.9,76.35,1.97
346,lewiston,40,US,1587600314,34,44.1,-70.21,37.4,13.87
347,taoudenni,4,ML,1587600240,13,22.68,-3.98,83.59,7.85
348,balkanabat,33,TM,1587600240,46,39.51,54.37,65.5,1.19
349,zhoucheng,0,CN,1587600377,39,35.91,116.31,50.54,10.67
350,terra santa,96,BR,1587600377,92,-2.1,-56.49,76.75,0.58
351,sao joao da barra,3,BR,1587600244,79,-21.64,-41.05,72.64,6.04
352,albion,90,US,1587600223,86,42.24,-84.75,35.6,8.05
353,bridlington,73,GB,1587600377,93,54.08,-0.19,43.0,4.7
354,shymkent,41,KZ,1587600272,67,42.3,69.6,59.0,11.18
